gemeenteId;provincieId;taalCodeProvincieNaam;provincieNaam
263;5;nl;Oost-Vlaanderen
263;5;fr;Flandre Orientale
264;5;nl;Oost-Vlaanderen
264;5;fr;Flandre Orientale
265;5;nl;Oost-Vlaanderen
265;5;fr;Flandre Orientale
266;5;nl;Oost-Vlaanderen
266;5;fr;Flandre Orientale
267;5;nl;Oost-Vlaanderen
267;5;fr;Flandre Orientale
268;5;nl;Oost-Vlaanderen
268;5;fr;Flandre Orientale
269;5;nl;Oost-Vlaanderen
269;5;fr;Flandre Orientale
270;5;nl;Oost-Vlaanderen
270;5;fr;Flandre Orientale
271;5;nl;Oost-Vlaanderen
271;5;fr;Flandre Orientale
272;5;nl;Oost-Vlaanderen
272;5;fr;Flandre Orientale
273;5;nl;Oost-Vlaanderen
273;5;fr;Flandre Orientale
274;5;nl;Oost-Vlaanderen
274;5;fr;Flandre Orientale
275;5;nl;Oost-Vlaanderen
275;5;fr;Flandre Orientale
276;5;nl;Oost-Vlaanderen
276;5;fr;Flandre Orientale
277;5;nl;Oost-Vlaanderen
277;5;fr;Flandre Orientale
278;5;nl;Oost-Vlaanderen
278;5;fr;Flandre Orientale
279;5;nl;Oost-Vlaanderen
279;5;fr;Flandre Orientale
280;5;nl;Oost-Vlaanderen
280;5;fr;Flandre Orientale
281;5;nl;Oost-Vlaanderen
281;5;fr;Flandre Orientale
282;5;nl;Oost-Vlaanderen
282;5;fr;Flandre Orientale
283;5;nl;Oost-Vlaanderen
283;5;fr;Flandre Orientale
284;5;nl;Oost-Vlaanderen
284;5;fr;Flandre Orientale
285;5;nl;Oost-Vlaanderen
285;5;fr;Flandre Orientale
286;5;nl;Oost-Vlaanderen
286;5;fr;Flandre Orientale
287;5;nl;Oost-Vlaanderen
287;5;fr;Flandre Orientale
288;5;nl;Oost-Vlaanderen
288;5;fr;Flandre Orientale
289;5;nl;Oost-Vlaanderen
289;5;fr;Flandre Orientale
290;5;nl;Oost-Vlaanderen
290;5;fr;Flandre Orientale
291;5;nl;Oost-Vlaanderen
291;5;fr;Flandre Orientale
292;5;nl;Oost-Vlaanderen
292;5;fr;Flandre Orientale
293;5;nl;Oost-Vlaanderen
293;5;fr;Flandre Orientale
294;5;nl;Oost-Vlaanderen
294;5;fr;Flandre Orientale
295;5;nl;Oost-Vlaanderen
295;5;fr;Flandre Orientale
296;5;nl;Oost-Vlaanderen
296;5;fr;Flandre Orientale
297;5;nl;Oost-Vlaanderen
297;5;fr;Flandre Orientale
298;5;nl;Oost-Vlaanderen
298;5;fr;Flandre Orientale
299;5;nl;Oost-Vlaanderen
299;5;fr;Flandre Orientale
300;5;nl;Oost-Vlaanderen
300;5;fr;Flandre Orientale
301;5;nl;Oost-Vlaanderen
301;5;fr;Flandre Orientale
302;5;nl;Oost-Vlaanderen
302;5;fr;Flandre Orientale
303;5;nl;Oost-Vlaanderen
303;5;fr;Flandre Orientale
304;5;nl;Oost-Vlaanderen
304;5;fr;Flandre Orientale
305;5;nl;Oost-Vlaanderen
305;5;fr;Flandre Orientale
306;5;nl;Oost-Vlaanderen
306;5;fr;Flandre Orientale
307;5;nl;Oost-Vlaanderen
307;5;fr;Flandre Orientale
308;5;nl;Oost-Vlaanderen
308;5;fr;Flandre Orientale
309;5;nl;Oost-Vlaanderen
309;5;fr;Flandre Orientale
310;5;nl;Oost-Vlaanderen
310;5;fr;Flandre Orientale
311;6;nl;Henegouwen
311;6;fr;Hainaut
312;6;nl;Henegouwen
312;6;fr;Hainaut
313;6;nl;Henegouwen
313;6;fr;Hainaut
314;6;nl;Henegouwen
314;6;fr;Hainaut
315;6;nl;Henegouwen
315;6;fr;Hainaut
316;6;nl;Henegouwen
316;6;fr;Hainaut
317;6;nl;Henegouwen
317;6;fr;Hainaut
318;6;nl;Henegouwen
318;6;fr;Hainaut
319;6;nl;Henegouwen
319;6;fr;Hainaut
320;6;nl;Henegouwen
320;6;fr;Hainaut
321;6;nl;Henegouwen
321;6;fr;Hainaut
322;6;nl;Henegouwen
322;6;fr;Hainaut
323;6;nl;Henegouwen
323;6;fr;Hainaut
324;6;nl;Henegouwen
324;6;fr;Hainaut
325;6;nl;Henegouwen
325;6;fr;Hainaut
326;6;nl;Henegouwen
326;6;fr;Hainaut
327;6;nl;Henegouwen
327;6;fr;Hainaut
328;6;nl;Henegouwen
328;6;fr;Hainaut
329;6;nl;Henegouwen
329;6;fr;Hainaut
330;6;nl;Henegouwen
330;6;fr;Hainaut
331;6;nl;Henegouwen
331;6;fr;Hainaut
332;6;nl;Henegouwen
332;6;fr;Hainaut
333;6;nl;Henegouwen
333;6;fr;Hainaut
334;6;nl;Henegouwen
334;6;fr;Hainaut
335;6;nl;Henegouwen
335;6;fr;Hainaut
336;6;nl;Henegouwen
336;6;fr;Hainaut
337;6;nl;Henegouwen
337;6;fr;Hainaut
338;6;nl;Henegouwen
338;6;fr;Hainaut
339;6;nl;Henegouwen
339;6;fr;Hainaut
340;6;nl;Henegouwen
340;6;fr;Hainaut
341;6;nl;Henegouwen
341;6;fr;Hainaut
342;6;nl;Henegouwen
342;6;fr;Hainaut
343;6;nl;Henegouwen
343;6;fr;Hainaut
344;6;nl;Henegouwen
344;6;fr;Hainaut
345;6;nl;Henegouwen
345;6;fr;Hainaut
346;6;nl;Henegouwen
346;6;fr;Hainaut
347;6;nl;Henegouwen
347;6;fr;Hainaut
348;6;nl;Henegouwen
348;6;fr;Hainaut
349;6;nl;Henegouwen
349;6;fr;Hainaut
350;6;nl;Henegouwen
350;6;fr;Hainaut
351;6;nl;Henegouwen
351;6;fr;Hainaut
352;6;nl;Henegouwen
352;6;fr;Hainaut
353;6;nl;Henegouwen
353;6;fr;Hainaut
354;6;nl;Henegouwen
354;6;fr;Hainaut
355;6;nl;Henegouwen
355;6;fr;Hainaut
356;6;nl;Henegouwen
356;6;fr;Hainaut
357;6;nl;Henegouwen
357;6;fr;Hainaut
358;6;nl;Henegouwen
358;6;fr;Hainaut
359;6;nl;Henegouwen
359;6;fr;Hainaut
360;6;nl;Henegouwen
360;6;fr;Hainaut
361;6;nl;Henegouwen
361;6;fr;Hainaut
362;6;nl;Henegouwen
362;6;fr;Hainaut
363;6;nl;Henegouwen
